 5.12.2011 21:59:4		 2455901.41603		 				 				 14.395
 5.12.2011 21:59:30		 2455901.41633		 				 13.886		 		
 6.12.2011 18:28:47		 2455902.26999		 14.397		 				 		
 6.12.2011 18:29:18		 2455902.27035		 14.421		 				 		
 6.12.2011 18:29:49		 2455902.27071		 				 				 14.133
 6.12.2011 18:30:15		 2455902.27101		 				 13.698		 		
 6.12.2011 18:47:17		 2455902.28284		 14.509		 				 		
 6.12.2011 18:47:38		 2455902.28308		 				 				 14.186
 6.12.2011 18:47:55		 2455902.28328		 				 13.720		 		
 6.12.2011 19:35:36		 2455902.31639		 14.624		 				 		
 6.12.2011 19:35:57		 2455902.31664		 				 				 14.306
 6.12.2011 19:36:13		 2455902.31682		 				 13.795		 		
 6.12.2011 19:36:51		 2455902.31726		 14.653		 				 		
 6.12.2011 19:37:5		 2455902.31742		 				 				 14.277
 6.12.2011 19:37:15		 2455902.31754		 				 13.791		 		
 6.12.2011 20:5:25		 2455902.3371		 14.748		 				 		
 6.12.2011 20:5:46		 2455902.33734		 				 				 14.373
 6.12.2011 20:6:3		 2455902.33754		 				 13.845		 		
 6.12.2011 20:36:53		 2455902.35895		 14.853		 				 		
 6.12.2011 20:37:14		 2455902.35919		 				 				 14.441
 6.12.2011 20:37:30		 2455902.35938		 				 13.860		 		
 7.12.2011 18:28:54		 2455903.27008		 14.708		 				 		
 7.12.2011 18:29:15		 2455903.27032		 				 				 14.339
 7.12.2011 18:29:31		 2455903.2705		 				 13.798		 		
 7.12.2011 19:10:12		 2455903.29875		 14.829		 				 		
 7.12.2011 19:10:33		 2455903.299		 				 				 14.452
 7.12.2011 19:10:50		 2455903.29919		 				 13.910		 		
 7.12.2011 19:42:24		 2455903.32112		 14.930		 				 		
 7.12.2011 19:42:46		 2455903.32137		 				 				 14.472
 7.12.2011 19:43:1		 2455903.32155		 				 13.919		 		
 7.12.2011 20:4:15		 2455903.33629		 14.942		 				 		
 7.12.2011 20:4:36		 2455903.33653		 				 				 14.534
 7.12.2011 20:4:53		 2455903.33673		 				 13.979		 		
 7.12.2011 20:26:1		 2455903.35141		 14.955		 				 		
